algorithm,num_seeds,episodes_per_seed,mean_reward,std_reward,mean_endpoint_coverage,mean_vuln_discovery_rate,mean_steps_to_first_finding,success_rate,mean_episode_length,training_time_seconds
random,5,10,-5.958999999999996,4.573660350310241,0.898,0.0,inf,0.1,100.0,95.68211817741394
rule_based,5,10,-5.433999999999997,4.584336811361049,0.9,0.0,inf,0.12,100.0,97.2572512626648
