seed,episode,algorithm,total_reward,episode_length,vulnerabilities,confirmed_vulnerabilities,endpoints_discovered,endpoint_coverage,steps_to_first_finding,success,logged_in,vuln_types
456,5,rule_based,-1.0499999999999967,100,0,0,24,0.9,,False,False,[]
456,6,rule_based,-4.549999999999996,100,0,0,24,0.9,,False,False,[]
456,7,rule_based,-6.249999999999999,100,0,0,25,0.9,,False,False,[]
456,8,rule_based,-2.549999999999998,100,0,0,24,0.9,,False,False,[]
456,9,rule_based,-11.949999999999992,100,0,0,24,0.9,,False,False,[]
789,0,rule_based,-8.649999999999995,100,0,0,24,0.9,,False,False,[]
789,1,rule_based,-1.7499999999999964,100,0,0,24,0.9,,False,False,[]
789,2,rule_based,-4.849999999999999,100,0,0,24,0.9,,False,False,[]
789,3,rule_based,-5.249999999999997,100,0,0,24,0.9,,False,False,[]
789,4,rule_based,2.4500000000000033,100,0,0,24,0.9,,True,False,[]
789,5,rule_based,-5.249999999999998,100,0,0,25,0.9,,False,False,[]
789,6,rule_based,2.250000000000003,100,0,0,24,0.9,,True,False,[]
789,7,rule_based,-8.649999999999999,100,0,0,24,0.9,,False,False,[]
789,8,rule_based,-7.149999999999999,100,0,0,24,0.9,,False,False,[]
789,9,rule_based,-8.149999999999995,100,0,0,25,0.9,,False,False,[]
1011,0,rule_based,-6.149999999999996,100,0,0,24,0.9,,False,False,[]
1011,1,rule_based,-0.7499999999999963,100,0,0,24,0.9,,False,False,[]
1011,2,rule_based,-7.449999999999996,100,0,0,24,0.9,,False,False,[]
1011,3,rule_based,-7.249999999999998,100,0,0,24,0.9,,False,False,[]
1011,4,rule_based,-1.3499999999999952,100,0,0,24,0.9,,False,False,[]
1011,5,rule_based,-16.04999999999999,100,0,0,24,0.9,,False,False,[]
1011,6,rule_based,-8.449999999999994,100,0,0,25,0.9,,False,False,[]
1011,7,rule_based,-6.649999999999997,100,0,0,24,0.9,,False,False,[]
1011,8,rule_based,-2.149999999999997,100,0,0,24,0.9,,False,False,[]
1011,9,rule_based,-8.55,100,0,0,24,0.9,,False,False,[]
